,Model,Accuracy,Precision,Recall,F1 Score,ROC AUC
0,LogisticRegression,0.801277501774308,0.6566666666666666,0.5267379679144385,0.5845697329376854,0.713610529850939
4,SVM,0.7955997161107168,0.6535714285714286,0.4893048128342246,0.5596330275229358,0.6977925030354698
2,RandomForest,0.7920511000709723,0.6372881355932203,0.5026737967914439,0.5620328849028401,0.6996460771396833
3,KNearestNeighbors,0.7480482611781405,0.5269121813031161,0.49732620320855614,0.5116918844566712,0.6679867731018626
1,DecisionTree,0.7374024130589071,0.5057142857142857,0.4732620320855615,0.4889502762430939,0.6530561368157276
5,NaiveBayes,0.6763662171753017,0.44273743016759776,0.8475935828877005,0.581651376146789,0.7310431682554444
